,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 30.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 30.00),RP_PU Score (Max 35.00),RP_QP Score (Max 40.00),RP_IPR Score (Max 15.00),RP_FPPP Score (Max 10.00),GO_GPH Score (Max 40.00),GO_GUE Score (Max 15.00),GO_MS Score (Max 25.00),GO_GPHD Score (Max 20.00),OI_RD Score (Max 30.00),OI_WD Score (Max 30.00),OI_ESCS Score (Max 20.00),OI_PCS Score (Max 20.00),PR Score (Max 100.00)
72,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,44.16,73,12.0,26.7,12.66,11.03,4.74,,5.0,0.28,37.23,15.0,11.61,0.68,1.43,25.77,3.28,20.0,23.82
73,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,44.02,74,9.5,24.19,14.53,6.99,16.88,15.32,0.5,0.31,22.08,15.0,13.42,2.43,5.66,22.68,1.26,18.0,22.57
74,"Manipal University, Jaipur",Jaipur,Rajasthan,43.83,75,12.9,26.56,15.29,8.79,10.0,11.81,2.5,0.13,30.26,15.0,10.96,0.46,19.34,20.04,0.15,20.0,1.6
75,Jawaharlal Nehru Technological University,Hyderabad,Telangana,42.77,76,14.44,23.22,11.95,16.05,11.18,10.6,3.0,2.62,18.29,12.25,10.06,3.42,1.79,27.37,4.79,20.0,6.54
76,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,42.76,77,12.5,21.89,12.26,14.76,4.43,4.3,1.5,1.51,38.72,15.0,11.45,7.26,2.34,28.97,4.71,20.0,7.91
77,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,42.56,78,6.16,19.79,13.75,12.88,9.1,9.63,0.5,1.31,34.84,13.89,21.47,1.63,21.34,12.58,2.49,20.0,7.0
78,Netaji Subhas University of Technology (NSUT),South West,Delhi,42.14,79,15.09,18.54,10.42,8.72,8.05,11.09,0.0,0.35,30.98,15.0,18.86,3.67,5.1,18.41,1.23,20.0,23.2
79,National Institute of Technology Agartala,Agratala,Tripura,41.92,80,11.96,21.06,13.12,10.45,10.65,12.56,2.0,0.23,23.96,12.91,13.8,3.52,12.33,18.89,,20.0,5.12
80,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,41.91,81,8.0,20.26,12.55,14.4,6.04,3.51,2.0,4.6,24.61,15.0,23.4,0.6,23.45,16.51,0.0,20.0,17.88
81,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",Jabalpur,Madhya Pradesh,41.79,82,9.09,14.92,10.15,11.62,13.45,14.4,0.5,0.69,31.53,15.0,15.62,4.3,20.79,11.42,,20.0,2.42
82,B.M.S. College of Engineering,Bengaluru,Karnataka,41.71,83,14.5,22.69,11.82,10.47,5.17,5.85,4.0,0.5,29.84,14.89,14.97,1.03,6.42,24.03,1.84,20.0,18.23
83,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,41.35,84,13.84,24.48,11.62,4.87,12.56,14.46,4.0,0.41,22.7,11.09,10.66,0.46,19.43,18.8,5.56,20.0,2.42
84,Thiagarajar College of Engineering,Madurai,Tamil Nadu,41.1,85,11.5,21.07,11.63,7.74,6.78,9.24,2.0,1.3,30.66,15.0,10.63,3.37,0.49,25.66,2.44,20.0,29.29
85,"National Institute of Food Technology, Entrepreneurship and Management - Thanjavur (NIFTEM - Thanjavur)",Thanjavur,Tamil Nadu,41.06,86,4.97,30.0,17.4,19.48,3.37,6.57,0.5,3.74,23.52,13.41,8.72,0.82,7.71,26.84,2.43,20.0,2.64
86,"Punjab Engineering College (Deemed to be University), Chandigarh",Chandigarh,Chandigarh,41.05,87,11.53,15.91,10.19,13.04,6.43,9.1,1.5,0.91,32.38,15.0,15.69,2.97,12.9,19.13,1.63,20.0,19.27
87,National Institute of Technology Goa,Ponda,Goa,40.78,88,6.4,22.45,13.87,12.53,11.31,10.3,0.0,0.9,26.28,12.69,13.78,1.76,17.31,18.48,2.32,20.0,8.36
88,R.V. College of Engineering,Bengaluru,Karnataka,40.73,89,13.5,25.91,13.79,8.07,7.82,6.02,2.0,0.52,24.29,15.0,15.62,0.38,6.72,23.12,0.91,20.0,12.99
89,"National Institute of Technology, Jamshedpur",Jamshedpur,Jharkhand,40.71,90,11.69,17.25,11.94,12.55,7.25,10.27,0.5,1.07,34.85,15.0,14.32,2.99,13.38,10.23,3.16,20.0,8.36
90,SR University,Warangal,Telangana,40.69,91,10.86,30.0,17.34,7.32,4.46,5.69,3.0,0.13,22.96,15.0,9.94,0.0,6.64,29.51,6.08,20.0,12.59
91,Panjab University,Chandigarh,Chandigarh,40.58,92,11.23,14.81,9.47,5.32,19.2,22.31,2.0,1.88,18.44,10.27,12.7,2.99,15.88,20.83,1.81,8.0,11.78
92,Indian Institute of Information Technology Allahabad,Prayagraj (Allahabad),Uttar Pradesh,40.53,93,8.92,13.59,9.29,10.73,8.8,8.47,0.5,0.71,33.22,15.0,22.44,3.62,18.12,10.25,3.31,20.0,22.57
93,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,40.5,94,12.45,19.38,12.42,7.98,11.42,12.32,1.5,0.18,32.32,13.82,11.4,2.43,8.07,20.4,0.21,20.0,6.07
94,Rajalakshmi Engineering College,Chennai,Tamil Nadu,40.47,95,14.41,28.97,14.49,,2.26,4.25,2.0,0.69,32.2,15.0,9.77,2.88,5.21,27.08,6.9,20.0,3.44
95,The Northcap University,Gurugram,Haryana,40.33,96,7.83,28.63,17.23,11.0,5.58,6.93,2.0,0.07,29.54,14.9,10.06,0.38,9.4,20.96,1.28,20.0,4.14
96,Siddaganga Institute of Technology,Tumkur,Karnataka,40.24,97,10.35,29.7,14.32,7.27,5.48,8.16,0.0,0.39,29.93,12.59,12.42,0.75,3.38,25.26,2.55,20.0,13.39
97,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,40.19,98,13.01,26.55,14.77,9.33,1.18,2.8,1.0,0.34,33.33,15.0,11.02,0.0,14.84,23.32,5.82,20.0,12.19
98,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,40.16,99,12.98,29.55,14.64,4.47,7.7,9.41,4.0,0.31,19.28,15.0,11.18,1.5,6.18,26.37,3.75,20.0,3.44
99,PES University,Bengaluru,Karnataka,40.14,100,13.82,22.09,10.59,9.77,6.8,5.83,2.0,0.3,34.16,15.0,14.39,0.23,5.05,24.5,1.47,20.0,9.24
100,Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,40.08,101,7.63,25.87,15.67,12.65,9.48,12.58,1.5,0.73,22.64,12.89,9.57,3.05,8.76,13.45,2.4,20.0,2.42
101,Gandhi Institute of Technology and Management ,Visakhapatnam,Andhra Pradesh,39.92,102,13.01,20.29,11.58,6.23,6.57,9.43,5.0,0.08,36.95,15.0,10.04,1.88,,21.66,0.03,20.0,5.12
102,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,39.92,102,9.13,28.41,16.66,8.07,6.96,11.73,2.0,0.51,25.35,13.89,8.8,0.96,3.32,19.64,3.7,20.0,4.14
103,Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,39.83,104,10.77,30.0,14.57,7.68,2.82,4.85,3.0,0.77,25.67,12.57,10.42,1.03,0.37,23.37,5.55,20.0,26.21
104,Manav Rachna International Institute of Research & Studies,Faridabad,Haryana,39.66,105,8.65,28.91,15.54,6.59,2.99,3.95,2.0,0.43,33.15,15.0,11.45,1.5,13.59,22.26,1.46,20.0,10.53
105,Pandit Deendayal Energy University,Gandhinagar,Gujarat,39.64,106,11.5,20.12,12.72,12.43,9.73,14.36,1.0,1.03,27.47,15.0,10.2,1.88,2.71,11.39,1.39,20.0,4.63
106,Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,39.43,107,10.87,20.25,13.36,6.29,13.53,14.22,2.5,0.44,18.56,15.0,,1.88,9.59,21.38,0.19,20.0,10.95
107,National Institute of Technology Manipur,Imphal,Manipur,39.32,108,,30.0,15.36,11.03,6.65,9.49,0.0,0.72,15.56,12.75,13.17,2.31,10.9,19.9,8.94,20.0,4.63
108,Kumaraguru College of Technology,Coimbatore,Tamil Nadu,39.32,108,13.41,25.9,13.22,6.83,6.41,6.29,2.0,0.62,30.12,13.92,10.02,0.08,0.67,23.62,0.79,20.0,15.69
109,"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,39.24,110,12.5,27.45,11.93,9.06,6.02,5.39,0.5,0.88,25.81,15.0,12.0,1.3,0.55,26.25,5.75,20.0,11.37
110,Veer Surendra Sai University of Technology,Burla,Odisha,39.14,111,14.02,19.31,11.47,10.29,12.03,14.51,0.5,0.17,18.1,14.44,10.72,4.44,0.59,22.42,3.41,20.0,3.65
111,Indian Institute of Information Technology Guwahati,Guwahati,Assam,39.09,112,5.55,20.7,13.47,11.07,5.75,5.15,0.0,0.58,28.2,13.59,14.21,0.46,20.05,18.6,0.35,20.0,32.45
112,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,Hyderabad,Telangana,39.04,113,13.5,26.97,12.89,6.38,3.44,4.99,6.0,0.34,28.75,14.69,10.09,0.0,1.72,26.41,2.73,20.0,10.11
113,"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,38.87,114,7.9,30.0,16.61,8.19,5.28,7.53,2.0,0.78,20.1,15.0,9.7,1.23,11.59,25.2,0.76,20.0,4.14
114,"Jain University, Bangalore",Bengluru,Karnataka,38.55,115,12.69,23.45,11.06,6.45,5.48,10.61,6.0,0.66,17.55,12.98,10.7,6.14,15.1,22.07,1.44,20.0,3.44
115,Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,38.51,116,14.8,28.6,12.37,9.81,2.68,2.53,4.0,0.46,28.33,14.73,10.76,0.53,6.6,20.61,0.91,20.0,2.64
116,University College of Engineering,Hyderabad,Telangana,38.49,117,10.0,25.33,12.76,12.06,1.22,2.08,2.0,4.19,29.24,13.45,12.62,0.68,7.31,30.0,6.61,18.0,2.42
117,Kongu Engineering College,Perundurai,Tamil Nadu,38.31,118,12.42,26.37,13.58,6.76,5.98,,0.5,0.19,27.39,13.99,9.68,0.75,0.24,22.04,1.01,20.0,16.43
118,"Veermata Jijabai Technological Institute (VJTI, Mumbai)",Mumbai,Maharashtra,38.29,119,11.5,17.23,10.24,11.26,5.02,6.28,0.5,1.88,31.83,15.0,14.83,2.31,5.92,22.24,6.3,20.0,8.8
119,Dayalbagh Educational Institute,Agra,Uttar Pradesh,38.26,120,9.33,30.0,15.97,7.43,1.94,4.46,2.0,1.46,24.89,15.0,10.74,2.25,2.98,23.42,3.42,20.0,9.24
120,New Horizon College of Engineering,Bengaluru,Karnataka,38.18,121,12.0,24.44,13.05,7.46,0.41,1.41,4.0,0.71,35.59,15.0,13.79,0.53,10.38,24.05,2.07,20.0,5.12
121,Sri Krishna College of Technology,Coimbatore,Tamil Nadu,38.14,122,8.6,27.62,9.92,8.75,3.62,5.98,3.0,0.31,35.21,15.0,11.35,0.16,1.94,21.5,3.47,20.0,7.91
122,Tezpur University,Tezpur,Assam,38.12,123,8.7,20.13,13.25,8.25,13.52,15.42,0.5,1.26,17.76,15.0,9.99,1.88,6.24,13.84,0.8,20.0,7.91
123,PSG Institute of Technology and Applied Research,Coimbatore,Tamil Nadu,38.04,124,7.5,30.0,15.95,7.74,1.47,3.55,1.0,0.15,26.86,15.0,12.21,0.0,1.16,24.91,3.81,20.0,20.29
124,Nirma University,Ahmedabad,Gujarat,38.01,125,12.5,19.86,10.84,9.86,7.06,10.83,0.5,0.21,31.15,15.0,11.58,0.08,3.0,19.23,3.43,20.0,4.14
125,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,38.01,125,9.06,21.69,13.17,5.19,8.21,15.36,4.0,0.2,19.72,13.96,9.79,2.31,11.27,20.91,0.6,20.0,5.12
126,"National Institute of Food Technology, Enterprenurship & Management",Sonipat,Haryana,37.96,127,7.44,21.56,13.95,15.49,1.5,4.91,1.0,1.33,26.3,14.91,14.18,1.76,19.23,22.75,,20.0,1.6
